Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Target
1.275,1.575,-0.052,1.294,-1.597,-0.863,-1.19,-1.167,-0.874,0.702,2.014,0.177,-0.386,-0.186,1.134,-0.605,1.053,0.574,1.552,-2.232,-0.554,-0.138,-0.611,-0.84,-0.409,0.697,-0.005,0.159,-0.042,1.227,-2.554,-0.254,-1.443,2.176,0.51,-3.634,-1.19,-1.538,1.428,0.484,3.623,0.435,-2.918,1.422,-2.224,-0.843,0.16,0.364,0.747,0.512,1.338
0.517,0.731,0.431,1.14,-0.811,1.913,0.643,0.375,-1.84,-0.223,0.68,-0.567,0.26,0.467,0.437,-0.39,-0.334,-0.0,0.625,0.111,-0.725,1.096,-1.933,-1.924,-1.304,-1.152,-0.375,0.446,0.213,0.165,0.265,-2.108,0.027,0.256,-0.063,0.698,-1.322,-0.332,0.474,0.484,-0.46,0.505,-0.233,0.573,0.148,0.19,0.048,0.839,0.072,0.303,0.577
0.227,0.051,0.189,-0.979,-1.255,0.791,-1.461,0.795,-0.605,1.791,-0.273,-1.376,0.804,0.928,0.36,0.904,0.056,-2.82,-0.4,1.904,1.659,1.667,-0.461,-0.703,0.785,-0.546,1.414,-0.682,-0.023,-0.897,0.387,0.672,-0.306,-0.866,0.51,0.612,-0.483,0.075,0.076,0.305,-0.447,-0.421,0.215,0.051,0.963,0.534,0.085,0.72,-0.327,-1.025,-0.178
-0.876,-0.805,-0.161,0.381,1.044,-0.1,-1.731,1.957,0.633,0.642,0.009,-0.601,0.563,0.64,-0.83,0.042,-0.592,0.17,0.502,0.418,0.916,-0.711,-1.755,1.744,1.053,-0.027,-0.022,-0.738,-0.068,-0.366,0.52,-1.361,-1.285,-0.07,-0.063,0.732,-0.181,-0.309,0.638,0.128,-0.458,-0.811,-0.618,-0.485,-0.853,0.462,0.788,0.839,0.508,0.951,-0.453
-0.311,0.067,-0.776,-1.777,0.965,0.64,1.446,0.311,0.699,-0.119,-0.41,-0.737,-0.23,-0.637,-0.3,0.904,-0.248,-1.346,-0.019,0.173,1.919,-0.857,2.955,-0.105,-0.033,-1.7,-0.313,-0.117,-0.453,0.43,-0.566,0.688,0.302,-0.823,0.51,0.332,-0.457,0.265,0.528,0.052,-0.436,-0.406,-0.149,0.079,0.613,1.05,1.397,0.364,0.182,0.034,-0.845
-0.56,-0.578,-0.441,-0.159,0.592,1.432,1.606,1.101,1.059,1.996,-0.077,-0.343,-0.897,-0.476,-1.096,-1.252,-1.496,-0.368,0.339,0.685,1.116,1.324,-0.923,-2.453,0.371,-0.047,-0.725,1.635,-0.73,0.696,0.531,-0.515,-1.168,-0.516,0.51,0.327,-1.317,-0.828,-0.086,0.104,-0.451,1.769,0.379,-0.931,-0.508,0.534,-0.29,0.364,-1.332,0.688,-0.792
-1.984,-2.909,-3.42,-1.138,-0.042,-0.377,-0.403,1.342,-2.81,-1.628,-1.632,-0.258,-4.368,-5.048,-4.558,-0.39,-2.582,0.447,-2.341,-2.561,2.051,1.507,2.355,-1.901,0.465,-0.601,-0.551,0.535,-5.981,0.165,-0.442,1.449,-0.161,-0.233,1.068,0.365,1.092,-3.808,-2.35,-1.073,-0.452,0.677,-0.568,-5.859,0.576,0.132,1.397,-0.289,-2.608,2.177,-2.397
-0.156,-0.159,0.269,0.838,0.59,-1.681,0.414,-1.735,0.835,-1.121,-0.475,-0.563,0.297,-0.344,0.197,0.042,0.593,0.419,-0.4,-0.05,-0.999,1.002,-0.468,0.832,-0.322,2.008,-0.032,-0.69,0.181,-0.897,0.073,-0.007,-0.431,0.575,-0.063,0.729,0.235,0.293,0.507,0.066,1.911,-0.654,-0.13,0.491,0.607,-0.04,0.273,0.839,0.165,0.862,-0.058
-2.548,-1.851,0.064,-1.297,0.136,-0.22,-1.054,1.986,0.514,-0.219,-2.824,-0.376,0.079,-0.991,-0.014,0.042,1.465,0.37,-2.953,-1.996,0.765,0.501,-1.06,-0.019,-0.218,1.004,-0.818,-1.34,0.794,-0.366,-1.303,-1.32,-1.821,1.263,0.133,-0.648,1.22,0.234,-0.638,0.39,1.525,-1.881,0.488,-0.024,-0.243,-1.473,-1.134,-0.349,0.771,1.422,-2.828
-0.292,-0.6,-0.318,-0.609,0.677,-0.636,0.604,-2.341,0.633,0.821,0.261,-0.579,0.97,1.316,-0.61,1.335,0.371,-0.705,0.274,0.738,0.201,-1.184,-0.352,0.774,-0.108,0.29,0.847,0.755,0.367,0.696,0.062,0.468,-0.625,1.003,1.822,0.7,-1.19,-0.734,0.469,0.117,-0.449,0.72,1.925,0.054,1.023,0.075,0.048,0.839,1.278,0.47,0.003
0.669,0.454,0.686,-0.645,-0.553,0.983,-0.428,0.755,0.857,0.458,-0.011,-0.344,1.258,1.144,0.717,0.904,0.968,-0.272,-0.006,-0.69,-0.313,-1.18,0.727,-0.796,-1.206,-0.496,-0.811,-0.336,1.01,0.43,0.253,1.424,0.142,-0.59,0.133,0.242,-0.621,0.736,-0.241,0.45,-0.452,-0.335,1.667,0.551,1.644,0.19,-0.177,0.245,0.959,-0.533,0.799
0.316,0.289,0.68,0.733,-1.382,0.456,0.317,0.566,-1.231,0.532,-0.192,-1.701,0.443,-0.182,0.19,0.042,0.268,-2.018,0.241,1.456,-0.407,0.301,1.173,-0.109,-1.005,-0.301,0.163,-0.374,0.239,-0.897,-0.021,0.587,-0.357,-0.532,-0.03,0.726,0.093,0.225,-0.54,0.285,1.287,-0.385,-0.03,0.395,0.441,-0.155,0.273,0.839,0.298,-0.161,0.475
0.515,0.55,1.161,1.422,-0.023,0.655,0.486,-0.658,-0.159,0.284,0.136,-1.631,0.82,0.342,0.319,0.042,0.399,-1.812,0.137,1.143,0.527,-1.116,1.684,0.187,0.845,-0.831,0.046,-0.32,0.463,-0.366,0.078,-0.215,-0.182,-0.216,-0.063,-0.198,0.093,0.063,0.746,0.28,1.282,-0.199,-0.308,0.479,0.22,-0.04,0.273,-0.349,0.66,-1.799,0.64
0.572,0.831,1.168,0.331,0.254,-1.279,0.895,0.552,0.518,-0.518,0.226,-0.773,0.366,0.382,0.754,-0.821,0.056,-0.426,0.175,0.74,0.672,0.299,0.245,1.209,1.007,-0.278,-0.25,-0.419,0.655,-0.897,0.063,-1.512,-0.205,0.091,-0.063,-0.689,1.368,0.375,0.491,0.513,0.497,-0.363,-0.483,0.947,0.19,-0.04,0.273,-0.289,0.188,-0.426,0.641
-2.191,-2.755,-0.744,-3.549,0.618,0.284,-2.172,0.981,-0.587,0.647,-1.021,-0.239,0.998,1.432,-1.965,0.473,2.693,-0.297,-0.974,-0.02,0.812,0.286,-0.489,-0.116,1.297,-2.094,0.526,-0.047,0.64,0.165,-0.183,0.828,-2.033,0.389,1.445,0.695,0.013,0.743,0.392,-0.269,-0.453,0.788,-0.482,-0.632,-0.301,0.132,1.566,0.839,2.04,2.187,-2.639
-0.82,-1.242,-0.761,-1.222,0.133,-0.728,1.255,-0.549,0.318,-1.643,0.909,-0.012,0.35,0.752,-1.307,1.335,0.214,0.393,0.329,-0.753,-0.083,-0.791,1.59,-0.4,-1.282,0.834,1.909,-0.476,-0.41,0.696,0.44,0.5,-0.563,1.73,1.822,0.339,0.255,-0.653,0.008,-0.091,-0.447,-0.421,0.438,-0.888,-0.388,0.419,0.16,0.364,0.203,1.09,-0.854
-2.608,-1.21,1.136,-0.706,-2.238,0.258,-1.057,1.515,-2.951,-0.067,-2.77,0.146,1.455,1.07,0.484,0.904,0.665,0.616,-2.932,-1.117,-0.637,-1.63,0.665,-0.199,0.014,-1.997,-0.334,-1.745,1.61,0.43,-0.843,1.015,-1.439,-0.004,-0.621,-0.646,1.545,2.141,0.598,0.333,-0.442,-1.835,0.616,0.549,-0.155,-1.072,-1.415,-0.943,0.332,0.486,-1.21
0.417,0.722,0.687,0.982,0.427,0.656,-0.204,0.587,0.36,-0.271,0.251,-0.021,1.192,1.197,0.754,0.042,0.99,0.408,-0.06,-0.046,-0.266,-0.82,1.679,-0.178,0.107,-0.101,-0.556,-1.512,1.111,1.227,-0.167,0.914,0.409,0.58,0.314,-0.206,1.226,0.517,0.106,0.456,1.237,-1.65,-0.011,-0.128,-0.557,-0.441,-0.571,-1.042,0.95,-0.144,1.118
0.11,0.312,0.271,-0.838,-0.322,0.843,-0.191,-0.819,-1.273,1.568,-0.085,-0.253,1.158,1.447,0.06,1.335,-0.033,-0.01,0.014,1.575,0.391,-1.926,0.762,0.976,1.768,1.099,2.066,-0.725,0.026,0.165,0.074,1.148,0.343,0.894,1.068,0.335,-1.19,-1.136,0.026,0.227,0.524,-0.717,-0.095,0.27,0.331,-0.04,-0.065,0.364,-0.055,-0.265,-0.02
0.123,0.303,0.087,-1.797,-1.295,1.226,-0.764,-0.662,-1.252,-0.867,-0.192,-0.309,0.653,0.507,0.372,0.904,0.237,-0.353,-0.821,0.882,-2.496,2.478,0.924,-0.998,-0.963,0.885,1.753,-1.093,-0.121,-0.941,0.987,1.633,0.585,0.163,0.872,0.249,1.4,0.643,-0.29,0.294,-0.437,-1.042,0.308,-0.228,0.36,0.543,0.334,0.245,0.164,-0.203,-0.292
0.904,1.27,0.803,1.526,-0.498,2.331,-0.05,0.912,0.617,-1.203,1.129,-0.567,1.117,1.023,1.276,0.473,1.791,-0.12,0.788,-0.548,-0.225,0.801,0.763,0.25,0.173,-0.67,-0.534,0.279,1.032,0.652,0.081,-1.342,-0.112,0.659,-0.063,-0.645,-1.32,-0.505,0.205,0.572,2.136,0.61,-0.197,1.419,-0.583,-0.04,0.207,-0.289,1.847,0.409,0.979
1.1,1.355,1.284,0.671,0.959,1.908,1.742,-0.914,0.47,-0.095,0.976,-0.634,0.443,0.524,1.457,-0.821,0.644,-0.155,0.95,0.057,0.169,-0.049,0.847,-0.732,1.812,-0.007,-0.235,1.13,1.223,-0.366,-0.123,-1.126,0.425,0.365,-0.243,0.322,-1.316,0.063,0.324,0.64,2.144,1.172,-0.341,1.725,0.02,0.534,0.273,-3.556,0.613,-0.193,1.426
0.697,0.347,0.82,1.294,2.289,-1.272,0.385,0.18,-1.766,-0.643,-0.168,-0.027,0.823,1.002,0.828,0.042,0.373,0.033,-0.168,-0.322,0.365,0.726,-0.288,-0.501,-0.321,-0.596,-2.397,-0.797,0.694,0.165,-0.574,-0.111,0.586,-0.462,-0.388,0.333,0.551,0.204,1.874,0.441,2.149,-0.175,-0.526,0.711,-0.132,-1.301,0.216,-0.289,0.222,-0.776,0.317
-0.487,-0.131,1.55,0.907,0.891,0.984,-0.24,0.067,-0.401,-0.248,-1.557,-0.023,1.385,1.178,0.524,0.042,1.387,0.364,-1.515,-0.49,-1.098,-1.738,1.645,-0.542,-0.809,0.211,-0.575,-0.925,1.334,1.227,-0.567,0.663,0.344,0.98,0.314,-1.102,1.226,0.592,0.071,0.403,1.237,-1.733,0.742,-0.317,-0.662,-0.441,-0.571,-1.537,1.425,-0.645,0.34
0.379,0.364,0.323,1.08,-0.273,1.383,-0.757,1.795,1.289,0.041,0.04,-0.788,0.098,0.262,0.344,0.473,0.001,-0.548,0.33,0.266,-0.305,-1.066,-0.342,-0.415,0.241,-1.407,-0.528,0.053,-0.198,-0.366,0.383,-1.104,0.721,-0.069,-0.063,0.704,-1.317,-0.604,-0.315,0.282,-0.459,0.445,0.261,0.212,-0.204,0.534,-0.065,0.839,-0.347,0.006,0.568
0.771,0.51,1.52,0.588,-1.561,-1.272,-1.14,-1.151,0.787,0.013,-0.229,-0.53,1.38,0.662,0.699,0.042,0.156,0.561,-0.505,-0.778,0.302,1.047,1.266,0.963,0.463,-0.032,-0.343,-0.66,1.091,-0.366,-0.388,-0.102,-0.127,1.06,-0.096,-0.182,0.516,0.545,0.528,0.511,0.972,-0.965,0.568,0.232,0.137,-0.212,-0.29,0.008,-0.307,-0.23,0.946
1.967,1.421,0.804,0.537,0.283,0.008,-2.054,-0.225,0.588,0.017,1.234,-0.627,-0.049,-0.03,1.827,0.042,0.251,0.272,0.181,-1.009,0.602,-1.302,-0.794,-0.459,1.916,-0.724,-0.347,1.566,0.441,-1.162,-0.583,-2.483,1.524,0.925,-0.259,0.366,-1.309,-0.228,0.811,0.798,-0.451,1.227,0.496,1.275,0.924,-0.843,0.16,0.364,0.741,-1.107,1.495
0.183,0.22,-0.048,0.507,-0.101,-0.376,0.79,-0.627,-0.982,-0.273,0.151,-0.164,0.524,0.441,-0.059,0.042,0.591,-0.276,0.082,-0.472,-1.778,-0.361,-0.642,0.181,-0.382,-0.841,-1.438,-0.131,0.307,-1.162,0.347,0.548,0.117,-0.302,-0.703,0.349,-0.483,0.076,0.854,0.24,-0.447,-0.048,0.679,0.385,0.082,0.304,0.273,0.364,0.798,0.153,0.458
0.391,0.297,-0.346,-0.582,0.53,1.16,-0.457,0.255,0.438,0.382,-0.468,-1.037,1.302,1.285,0.363,0.904,0.077,-1.661,-0.495,1.905,0.181,-0.383,1.141,-1.375,1.464,0.396,1.834,-0.803,0.285,0.165,0.168,0.844,-0.921,0.692,0.872,0.334,1.385,-1.273,-0.252,0.271,-0.454,-0.894,0.68,0.411,0.639,0.228,-0.065,0.364,0.428,-1.674,-0.113
0.928,0.799,1.409,0.33,0.049,-0.091,-0.845,-0.803,-0.62,2.315,0.328,-1.405,1.166,0.774,0.984,0.042,0.026,-0.997,0.364,-0.247,0.607,0.107,0.954,-0.221,1.091,-1.765,-0.464,0.042,1.034,-0.366,0.077,0.153,-0.567,0.502,0.133,-0.189,-0.886,-0.041,0.397,0.532,1.435,0.105,-0.269,0.926,-0.181,-0.04,0.273,-0.349,0.327,-0.846,0.782
-0.328,0.701,1.208,0.493,-1.022,0.723,1.49,0.066,1.759,0.229,-1.158,-0.134,0.986,0.621,0.889,0.042,0.638,0.431,-0.975,0.148,1.251,-1.292,-0.929,1.467,-0.833,1.584,-0.198,-1.271,1.187,0.696,-0.665,0.78,1.306,0.527,0.314,-1.101,1.507,1.215,-0.222,0.475,2.098,-1.518,0.194,-0.295,-0.207,-0.9,-0.796,-0.943,0.901,-0.385,0.441
0.464,0.428,0.796,1.146,-0.184,-1.926,1.828,0.984,-0.488,-0.202,0.087,-0.391,0.796,0.79,0.162,0.904,0.954,-0.464,0.193,-1.018,-1.718,-0.442,-0.792,-0.274,-0.53,-0.758,-0.749,-0.658,0.577,0.43,0.071,0.941,-0.184,-0.401,-0.621,0.242,-0.483,0.461,0.147,0.318,-0.448,-0.323,1.733,0.546,-0.572,-0.212,-0.177,0.186,0.887,-0.773,0.441
0.086,0.162,-0.222,-0.413,-0.973,0.505,-0.475,1.333,-0.886,1.742,0.713,-0.373,-0.377,0.099,-0.405,0.473,-0.608,1.013,0.537,0.36,0.684,-0.396,0.392,-0.788,1.028,-1.727,-0.837,0.558,-0.631,-0.366,0.627,-1.963,-0.769,-0.151,0.51,0.878,-1.318,-0.743,1.066,0.353,-0.455,0.674,-0.303,-0.513,0.036,0.648,0.91,1.077,-1.037,0.364,0.107
0.696,0.411,1.5,1.817,-0.111,1.36,0.538,-0.637,-1.025,-1.288,0.001,-1.79,1.098,0.257,0.682,0.042,0.572,-2.173,0.452,1.59,1.141,-2.243,1.046,-1.408,-0.503,0.98,-0.027,0.369,1.078,-0.366,0.52,-0.584,0.254,-0.645,-0.063,0.711,-0.613,0.378,0.548,0.446,-0.452,0.048,0.881,0.488,0.913,0.534,0.835,0.839,0.682,-1.336,1.024
1.116,0.622,1.639,1.846,0.121,1.472,1.305,1.05,-0.657,1.351,0.357,-0.676,1.463,1.099,1.175,0.473,0.492,-0.285,-0.129,-0.067,-1.347,0.287,0.348,0.319,-1.298,0.298,-0.604,-0.397,1.513,0.165,0.527,-0.762,0.467,0.392,0.133,-0.656,-1.314,0.187,-0.646,0.61,1.518,-0.182,0.678,0.536,-0.002,0.534,-0.29,-0.943,0.37,-1.121,1.58
0.027,0.068,-0.12,-0.696,-0.876,1.192,-0.403,-0.525,-1.357,1.889,0.78,-0.165,-0.065,0.377,-0.203,-0.39,0.28,0.077,0.699,0.341,1.452,1.148,-0.729,-0.201,-0.083,-0.647,1.427,1.559,-0.261,-0.366,0.07,-1.075,-0.218,-0.7,1.445,1.318,-1.313,-0.881,-0.412,0.266,-0.453,1.439,-0.082,0.07,1.007,-0.04,0.16,1.671,0.426,0.74,-0.102
0.771,0.821,1.778,1.031,1.64,0.996,-0.317,1.354,-1.89,0.283,0.582,-0.797,0.296,0.224,0.9,0.042,0.49,-0.364,0.628,0.011,0.974,-1.68,0.478,-1.736,0.84,0.404,-0.902,0.58,0.486,0.165,-0.103,-1.292,-0.263,1.208,0.314,-0.636,-1.316,-0.967,-0.064,0.481,0.494,0.754,-0.338,0.625,-0.739,-0.269,-0.365,-0.943,0.144,-1.032,2.099
0.719,0.7,-0.143,-1.242,-0.413,0.213,-1.057,-0.424,-1.086,-1.711,0.729,-0.0,0.147,0.195,0.798,0.042,0.193,0.163,0.636,0.132,0.841,0.902,0.097,1.062,0.519,-0.361,0.277,0.581,0.131,0.165,-0.483,0.75,0.402,-0.175,0.51,0.8,0.943,0.061,0.728,0.333,1.488,0.841,0.237,0.849,0.389,-1.932,-2.315,1.017,-0.047,0.902,0.389
1.137,1.1,0.854,0.541,0.474,-0.111,0.917,-1.739,-1.014,-0.713,1.163,-0.407,0.723,0.871,1.231,-0.39,0.073,-0.241,1.392,0.42,1.024,0.382,-0.138,0.125,-0.097,1.643,1.513,1.568,0.893,0.43,0.525,-0.077,-0.092,-0.768,1.225,0.336,-1.313,-0.667,-1.039,0.718,-0.456,0.953,-0.085,1.255,0.154,0.534,-0.29,0.364,0.181,-0.442,1.281
-1.354,-2.187,-0.988,-0.465,-0.046,0.932,0.089,-1.244,0.979,1.72,-0.14,0.042,0.125,0.377,-2.118,0.042,-0.58,0.188,-0.701,-0.315,1.1,1.037,0.455,0.927,2.206,0.351,-2.198,0.37,-1.108,-0.897,0.063,0.595,1.065,-0.462,-0.817,0.345,-1.191,-0.632,0.042,-0.349,-0.449,0.396,-0.701,-1.523,-0.33,-0.957,-0.402,0.364,-0.068,1.335,-1.572
-0.196,-0.543,0.235,1.341,0.383,-0.21,0.263,1.688,-0.292,1.168,-0.103,-1.887,0.066,-0.348,-0.247,0.042,-0.852,-2.608,0.163,1.398,-0.492,0.113,-0.493,0.988,1.089,1.343,0.032,0.79,-0.572,-0.897,0.535,0.211,-0.284,-0.676,-0.259,0.712,-1.314,-0.298,-0.442,0.325,-0.456,0.822,0.387,-0.664,0.637,0.534,0.835,0.839,-0.707,-0.388,0.541
-0.977,-1.287,0.125,0.032,1.354,0.836,-2.798,-2.098,-2.729,0.332,-0.439,0.426,0.901,0.954,-0.34,0.042,-1.447,1.164,-0.664,-0.732,0.461,0.127,0.449,0.427,-0.162,1.37,-2.053,-0.235,0.108,-1.206,2.745,-0.606,-1.356,-0.081,-0.621,0.356,-1.19,0.191,2.652,0.176,2.156,0.496,-0.871,-0.51,-1.116,2.101,2.565,0.364,-1.771,0.753,-0.535
0.747,0.625,0.733,1.049,-2.309,1.348,3.324,1.031,-0.983,0.197,1.001,-0.92,-0.01,0.143,0.571,-1.252,0.134,-0.871,0.188,1.065,-0.956,0.418,1.589,-1.469,-0.942,-0.656,0.36,-1.146,0.549,0.165,0.077,-1.542,-0.33,-0.778,0.51,0.353,0.998,0.03,0.244,0.485,0.648,-0.562,0.455,0.262,1.287,-0.04,0.216,0.364,0.355,-0.399,0.795
0.194,0.11,0.476,1.269,-2.407,0.324,-1.86,-0.365,1.762,0.285,1.046,-0.411,0.539,0.66,0.416,-0.39,1.309,0.546,0.811,-1.225,1.752,1.666,0.792,0.579,-0.229,-0.18,-0.425,1.109,0.863,0.43,0.156,-1.246,0.481,1.165,-0.063,0.701,-1.322,-0.121,0.311,0.275,1.534,1.0,0.262,1.018,0.815,0.075,0.048,0.839,1.133,0.922,0.403
1.052,0.97,0.937,2.177,0.804,0.95,-0.556,1.771,-0.661,1.36,1.109,-1.887,0.569,0.605,1.01,-0.39,-0.14,-2.655,1.11,0.355,-1.082,-0.853,0.736,-0.219,2.307,0.437,-0.783,1.792,0.711,0.43,-0.331,-0.958,0.74,0.933,0.133,0.317,-1.322,-0.439,-0.693,0.552,-0.456,1.734,-0.257,0.695,-0.656,-0.613,-2.821,0.8,-0.002,-0.361,1.14
0.325,0.149,1.683,0.147,1.242,0.585,0.208,-0.802,1.727,0.105,-0.779,-0.259,0.731,0.408,0.667,0.042,0.981,-0.088,-1.066,0.894,-1.378,-0.594,-2.556,-0.185,-1.492,0.88,-0.07,-1.125,1.3,0.696,0.527,0.408,-0.298,-0.145,0.314,0.344,1.109,0.943,0.557,0.444,2.109,-1.121,1.445,0.124,0.861,0.534,0.273,0.364,0.992,-1.338,0.76
0.959,0.601,-0.152,-2.318,-0.231,-0.406,1.355,1.018,-0.662,-0.099,1.149,-1.329,-1.467,-1.658,0.873,0.203,-1.172,-2.748,1.194,0.297,-0.55,0.831,1.098,-0.657,1.205,-0.724,-0.347,2.51,-1.158,-0.897,0.015,0.935,0.256,1.029,0.314,0.326,0.824,-0.889,-0.02,0.337,-0.455,2.939,0.243,-0.728,1.118,0.82,-0.121,-0.943,-1.471,-1.296,-1.428
0.534,0.49,0.777,0.443,1.0,-0.805,0.205,0.441,-0.861,-0.572,0.162,-0.87,1.161,0.814,0.362,0.042,0.463,-0.224,0.26,0.258,-0.405,1.136,-0.239,1.267,-0.591,-0.396,-0.526,0.057,1.126,-0.366,0.066,0.102,-0.166,0.164,-0.063,0.358,-0.886,0.224,0.304,0.308,1.439,0.048,0.223,0.604,0.1,-0.04,0.273,0.483,0.513,0.239,0.393
-1.287,0.565,-0.242,-1.799,0.372,-0.659,1.053,-0.384,0.647,1.058,-1.142,-0.187,-0.033,-0.557,0.087,0.904,-0.208,0.045,-1.356,-0.422,0.793,-0.161,0.134,-0.613,1.739,-0.613,0.06,-0.555,-0.541,0.43,0.429,0.081,0.151,-0.232,0.51,0.321,0.807,0.562,0.679,0.196,-0.444,-1.167,-0.029,0.051,1.582,-0.107,1.397,0.364,-0.245,0.003,-1.12
